datetime,serial,frame,lat,lon,alt,heading,vel_h,vel_v,batt,temp
2023-02-12 14:50:47+00:00,22049077,1360248647,37.19747,-80.43967,1532.6,265.69,16.97,3.91,,4.6
2023-02-12 14:50:49+00:00,22049077,1360248649,37.1974,-80.44009,1542.5,251.06,19.83,5.18,5.22,4.7
2023-02-12 14:50:50+00:00,22049077,1360248650,37.19734,-80.44028,1547.5,242.82,18.86,5.12,5.22,4.7
2023-02-12 14:50:51+00:00,22049077,1360248651,37.19726,-80.44046,1553.2,237.75,16.73,5.93,5.22,4.7
2023-02-12 14:50:52+00:00,22049077,1360248652,37.19718,-80.44061,1558.0,238.17,14.52,3.45,5.22,4.7
2023-02-12 14:50:53+00:00,22049077,1360248653,37.19713,-80.44075,1563.0,248.11,13.23,5.97,5.22,4.7
2023-02-12 14:50:54+00:00,22049077,1360248654,37.19709,-80.44091,1568.9,258.39,16.45,5.43,5.22,4.7
2023-02-12 14:50:55+00:00,22049077,1360248655,37.19706,-80.4411,1573.7,259.36,18.04,3.9699999999999998,5.22,4.7
2023-02-12 14:50:56+00:00,22049077,1360248656,37.19702,-80.44129,1578.8,251.32,16.91,5.8,5.22,4.7
2023-02-12 14:50:57+00:00,22049077,1360248657,37.19696,-80.44145,1584.3,238.66,15.44,5.09,5.22,4.7
2023-02-12 14:50:58+00:00,22049077,1360248658,37.19689,-80.44159,1587.2,236.67,14.13,3.01,5.22,4.7
2023-02-12 14:51:00+00:00,22049077,1360248660,37.19679,-80.44185,1596.2,257.47,12.55,5.63,5.22,4.7
2023-02-12 14:51:02+00:00,22049077,1360248662,37.19676,-80.44217,1605.0,263.11,16.44,3.41,5.22,4.7
2023-02-12 14:51:04+00:00,22049077,1360248664,37.19667,-80.44255,1613.9,245.04,17.55,3.4,5.22,4.7
2023-02-12 14:51:05+00:00,22049077,1360248665,37.1966,-80.44272,1617.8,237.66,16.8,3.8,5.22,4.7
2023-02-12 14:51:06+00:00,22049077,1360248666,37.19653,-80.44286,1621.8,241.73,12.92,4.38,5.22,4.6
2023-02-12 14:51:07+00:00,22049077,1360248667,37.19649,-80.44299,1626.1,251.74,10.94,3.79,5.22,4.6
2023-02-12 14:51:08+00:00,22049077,1360248668,37.19647,-80.44311,1630.2,268.43,12.61,5.55,5.22,4.6
2023-02-12 14:51:09+00:00,22049077,1360248669,37.19648,-80.44328,1635.1,271.93,16.45,4.84,5.22,4.6
